timesyamp,value
1751460267.9784799,23
1751460268.0784516,23
1751460268.1784513,23
1751460268.2784936,23
1751460268.3784251,23
1751460268.4783998,23
1751460268.5784235,23
1751460268.679448,23
1751460268.7792914,23
1751460268.878517,23
1751460268.97845,23
1751460269.0785441,23
1751460269.1785371,23
1751460269.278496,23
1751460269.3783994,23
1751460269.4784648,23
1751460269.5784824,23
1751460269.6784642,23
1751460269.7787833,23
1751460269.8785012,23
1751460269.978474,23
1751460270.0784316,23
1751460270.1784654,23
1751460270.2784836,23
1751460270.378445,23
1751460270.4784691,23
1751460270.5784752,23
1751460270.678439,23
1751460270.7785463,23
1751460270.8785155,23
1751460270.9788828,23
1751460271.0786638,23
1751460271.1787474,23
1751460271.278803,23
1751460271.3788445,23
1751460271.4788625,23
1751460271.5786483,23
1751460271.6787796,23
1751460271.77883,23
1751460271.8788564,23
1751460271.9784253,23
1751460272.0784154,23
1751460272.178473,23
1751460272.2784152,23
1751460272.3784094,23
1751460272.4784307,23
1751460272.5783865,23
1751460272.678363,23
1751460272.7783916,23
1751460272.878389,23
1751460272.9784029,23
1751460273.0784404,23
1751460273.178403,23
1751460273.2783961,23
1751460916.2831893,23
1751460916.3822017,23
1751460916.48219,23
1751460916.5817175,23
1751460916.6817026,23
1751460916.7817025,23
1751460916.8817146,23
1751460916.9817479,23
1751460917.0817063,23
1751460917.1816285,23
1751460917.2816157,23
1751460917.3816242,23
1751460917.4816184,23
1751460917.5816166,23
1751460917.6816883,23
1751460917.7816553,23
1751460917.881638,23
1751460917.9816554,23
1751460918.0816596,23
1751460918.1816504,23
1751460918.2816446,23
1751460918.3816504,23
1751460918.4816482,23
1751460918.5817063,23
1751460918.6816351,23
1751460918.7819355,23
1751460918.8818145,23
1751460918.9828122,23
1751460919.0819685,23
1751460919.1822162,23
1751460919.282633,23
1751460919.3822956,23
1751460919.481789,23
1751460919.5818548,23
1751460919.6818626,23
1751460919.7817354,23
1751460919.8818524,23
1751460919.982142,23
1751460920.0817308,23
1751460920.181737,23
1751460920.281698,23
1751460920.3817961,23
1751460920.4818764,23
1751460920.5818393,23
1751460920.6817155,23
1751460920.7819161,23
1751460920.8818216,23
1751460920.9824865,23
1751460921.0835981,23
1751460921.1820698,23
1751460921.2818897,23
1751460921.3817515,23
1751460921.4818635,23
1751460921.5819595,23
1751460921.6818526,23
1751460921.781722,23
1751460921.8823783,23
1751460921.9819868,23
1751460922.0819662,23
1751460922.1817386,23
1751460922.2817504,23
1751460922.3820732,23
1751460922.4818761,23
1751460922.5818725,23
1751460922.6817214,23
1751460922.781697,23
1751460922.881724,23
1751460922.9817922,23
1751460923.081796,23
1751460923.1821344,23
1751460923.2818487,23
1751460923.3817425,23
1751460923.4818442,23
1751460923.5819013,23
1751460923.6818452,23
1751460923.7816768,23
1751460923.881839,23
1751460923.983522,23
1751460924.0818834,23
1751460924.181649,23
1751460924.2818985,23
1751460924.382831,23
1751460924.482653,23
1751460924.5821579,23
1751460924.6819594,23
1751460924.78319,23
1751460924.8820934,23
1751460924.981949,23
1751460925.0824795,23
1751460925.182129,23
1751460925.2821662,23
1751460925.3823783,23
1751460925.4820817,23
1751460925.5819657,23
1751460925.6819303,23
1751460925.7819986,23
1751460925.8819273,23
1751460925.9817386,23
1751460926.0817003,23
1751460926.181688,23
1751460926.28171,23
1751460926.382339,23
1751460926.4818456,23
1751460926.5833492,23
1751460926.6817307,23
1751460926.7825458,23
1751460926.8819423,23
1751460926.9820075,23
1751460927.0817482,23
1751460927.1817203,23
1751460927.2825,23
1751460927.3817375,23
1751460927.4831495,23
1751460927.581751,23
1751460927.6818721,23
1751460927.7817376,23
1751460981.922383,23
1751460982.0224771,23
1751460982.1223536,23
1751460982.222472,23
1751460982.3223588,23
1751460982.4226658,23
1751460982.5223415,23
1751460982.6224616,23
1751460982.7223094,23
1751460982.8225272,23
1751460982.9223142,23
1751460983.0224566,23
1751460983.1223161,23
1751460983.222305,23
1751460983.3223827,23
1751460983.422339,23
1751460983.522394,23
1751460983.6226943,23
1751460983.722573,23
1751460983.8226674,23
1751460983.922694,23
1751460984.022491,23
1751460984.122294,23
1751460984.222264,23
1751460984.3222597,23
1751460984.4222603,23
1751460984.5222526,23
1751460984.6223083,23
1751460984.7222233,23
1751460984.8222024,23
1751460984.9222083,23
1751460985.022213,23
1751460985.1222029,23
1751460985.222382,23
1751460985.3224535,23
1751460985.4224288,23
1751460985.5224547,23
1751460985.6224732,23
1751460985.7222955,23
1751460985.8223636,23
1751460985.9222608,23
1751460986.0223894,23
1751460986.1223207,23
1751460986.2223709,23
1751460986.32261,23
1751460986.422931,23
1751460986.522902,23
1751460986.6231093,23
1751460986.7229102,23
1751460986.8222914,23
1751460986.9229212,23
1751460987.0222924,23
1751460987.122287,23
1751460987.2230031,23
1751460987.3223257,23
1751460987.422306,23
1751460987.5228577,23
1751460987.622315,23
1751460987.7223008,23
1751460987.8224232,23
1751460987.9223177,23
1751460988.0223842,23
1751460988.122403,23
1751460988.2224107,23
1751460988.3227644,23
1751460988.425116,23
1751460988.5224595,23
1751460988.6223648,23
1751460988.72286,23
1751460988.8224328,23
1751460988.9222736,23
1751460989.0222464,23
1751460989.1222637,23
1751460989.22224,23
1751460989.3223035,23
